SA12018_code	DHB2015_name
7001360	Waitemata
7001359	Waitemata
7001771	Waitemata
7001390	Waitemata
7001761	Waitemata
7001769	Waitemata
7001863	Waitemata
7001873	Waitemata
7001928	Waitemata
7001867	Waitemata
7001931	Waitemata
7001807	Waitemata
7001815	Waitemata
7001831	Waitemata
7001830	Waitemata
7001845	Waitemata
7001846	Waitemata
7001849	Waitemata
7001848	Waitemata
7001850	Waitemata
7001893	Waitemata
7001898	Waitemata
7001894	Waitemata
7001895	Waitemata
7001900	Waitemata
7001905	Waitemata
7001902	Waitemata
7001809	Waitemata
7001808	Waitemata
7001818	Waitemata
7001821	Waitemata
7001819	Waitemata
7001822	Waitemata
7001823	Waitemata
7001824	Waitemata
7001861	Waitemata
7001903	Waitemata
7001913	Waitemata
7001852	Waitemata
7001853	Waitemata
7001855	Waitemata
7001856	Waitemata
7001854	Waitemata
7001858	Waitemata
7001857	Waitemata
7001860	Waitemata
7001859	Waitemata
7001909	Waitemata
7001907	Waitemata
7001908	Waitemata
7001910	Waitemata
7001911	Waitemata
7001912	Waitemata
7001840	Waitemata
7001885	Waitemata
7001838	Waitemata
7001884	Waitemata
7001883	Waitemata
7001882	Waitemata
7001878	Waitemata
7001881	Waitemata
7001879	Waitemata
7001880	Waitemata
7001800	Waitemata
7001810	Waitemata
7001802	Waitemata
7001801	Waitemata
7001782	Waitemata
7001791	Waitemata
7001792	Waitemata
7001783	Waitemata
7001784	Waitemata
7001785	Waitemata
7001793	Waitemata
7001795	Waitemata
7002367	Waitemata
